INFO SLIDE (IF APPLICABLE),MOTION,,,Topics,,,,,,,
,THBT a world in which there is no more sexual instinct and reproduction is only in vitro and through similar technologies is a better world,,,Relationships,Feminism,Beliefs,Lifestyle,,,,
,"·  THW rather be a part of ""Club 27""; than live an average anonymous life",,,Media/Arts,Beliefs,Lifestyle,,,,,
,·  THBT Pope Francis should openly endorse radical left political parties and candidates,,,IR,Religion,Poverty,Economics,Enviornment,,,
,"·  TH, as the United States, does not regret the dropping of the atomic bomb.",,,Military,Ethics/Philosophy,IR,Developing World,,,,
,"·  You are a young, politically progressive teacher, with an interest in advocacy and activism. Assuming that your skillset would naturally lead to highly effective learning outcomes in both contexts, this house would choose to work at an elite private all-boys school, instead of at a low-SES co-ed public school.",,,Economics,Activism,Marginalized Community,Ethics/Philosopy,Lifestyle,Feminism,Education,Poverty
,·  Thr the concept of martyrdom,,,,,,,,,,
,·  THW pay CEOs of large companies in bonuses and stock in lieu of a salary,,,,,,,,,,
,"·  Thw, except in cases of suspected foul play, not release celebrities cause of death",,,,,,,,,,
,"·  TH, as a Never-Trump Republican policy expert, W accept a position as a senior advisor to President Trump",,,,,,,,,,
INFO: Anecdotal and empirical evidence indicates that female trial lawyers are more likely to get favorable verdicts if they wear traditionally feminine (and revealing) attire/accessories such as short skirts or low cut blouses. ,·  THB female trial lawyers should wear clothing they believe will influence the jury in their favor,,,,,,,,,,
, ,,,,,,,,,,
,"·  You are politically active liberal White parents in rural mississippi in 1963. Your 5 year old child is sleeping when KKK members light a cross on your front yard. Assuming the cross itself poses no direct danger, THW wake up your child",,,,,,,,,,
,·  THW make libel/slander a criminal offense,,,,,,,,,,
,·  THB success is the best revenge,,,,,,,,,,
,·  THB news organizations should not report on information obtained illegally (assuming the perpetuation of current laws),,,,,,,,,,
,·  THS nationalism with regard to sports,,,,,,,,,,
,"·  Nushu was a language used exclusively by women in China, which has fallen out of use since WWII. THB the Chinese government should support its revival.",,,,,,,,,,
,"·  Thw create Olympics island (I.e. The IOC buys some uninhabited Greek islands, and has the summer Olympics there in perpetuity)",,,,,,,,,,
,·  THB China should get militarily involved in the fight against ISIS,,,,,,,,,,
,"·  TH, as a catholic, W oppose the canonization of Mother Theresa (important info: MT appears to have privately abandoned her faith towards the end of her life. She also believed in the necessity of suffering to attain virtue.)",,,,,,,,,,
,·  THW allow corporations to buy naming rights for each year (e.g. 2017 Brought to You by Coca-Cola),,,,,,,,,,
,·  THW Pardon all accused of treason by public referendum,,,,,,,,,,
,·  THW allow corporations to adopt children as investment assets,,,,,,,,,,
,·  THW give soldiers a pill to make them forget the horrors of war at the end of their service,,,,,,,,,,
,·  THP a world with a single common language,,,,,,,,,,
,"·  THW significantly increase people's leisure time at the expense of greater prosperity, progress and growth.",,,,,,,,,,
,·  THW not prosecute former child soldiers for crimes committed as adults,,,,,,,,,,
,·  THB the US government should reintroduce defense bonds (Bonds sold specifically to support defense spending),,,,,,,,,,
,"·  THBT universities should never prohibit research or teaching on the grounds of sexist, racist or otherwise discriminatory implications",,,,,,,,,,
,·  THW ban the keeping of pets,,,,,,,,,,
,·  THS publically funded stadiums,,,,,,,,,,
,"·  TH, as the House of Representatives, W impeach DT",,,,,,,,,,
,·  THS a philosopher king/enlightened despot,,,,,,,,,,
,"·  THB the US Supreme Court should have the power to revisit prior Supreme Court cases, and overturn precedent regardless of whether a relevant case is before the court",,,,,,,,,,
,"·  THR ""coming out"" as a dominant aspect of the queer experience",,,,,,,,,,
,"·  THR lujan standard for standing (plaintiffs must suffer a concrete, discernible injury—not a ""conjectural or hypothetical one""—to be able to bring suit in federal court)",,,,,,,,,,
,"· This house celebrates the rise of ""monogamish"" couples",,,,,,,,,,
,· This house would allow children with grave genetic conditions that can be detected pre-birth to sue their parents for wrongful birth,,,,,,,,,,
,· This house believes that progressive Catholic clery members should self ex-communicate from the Church,,,,,,,,,,
,"· This house supports comedians who employ dark humour (rape, genocide, etc as comedy material",,,,,,,,,,
,"· In instances where utterances of a minor amount to hate speech, THS the public shaming of the parent rather than the minor",,,,,,,,,,
,· This house regrets the United States's unwillingness to engage in humantarian intervention,,,,,,,,,,
,"· That, once sufficient welfare services have been provided to every citizen, the state should not care about relative inequality",,,,,,,,,,
,· That couples should be able to enter into relationship contracts which make any future infidelity a state-enforced crime,,,,,,,,,,
,"· That assuming a medicinal method of becoming heterosexual was developed, it should be banned",,,,,,,,,,
,· This house believes that infidelity is a legitimate tool for preserving long-term relationships,,,,,,,,,,
,· This house would ban out of court settlements between prosecutors and corporations,,,,,,,,,,
,· This house believes that there is no state duty to protect individuals from themselves,,,,,,,,,,
,"· Given the choice, this house would prefer to live in a world with a guaranteed median economic standard to one with the possibility of riches or poverty",,,,,,,,,,
